Texto	Classificador
Recebi bem antes do prazo estipulado.	1
Parab�nss lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa	1
aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho	1
Mas um pouco ,travando...pelo valor ta Boa.	1
Vendedor confiável, produto ok e entrega antes do prazo.	1
GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU	0
Péssimo	0
Loja nota 10	1
obrigado pela atençao amim dispensada	1
A compra foi realizada facilmente.	1
relógio muito bonito e barato.	1
Não gostei ! Comprei gato por lebre	0
Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.	0
Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.	1
Recomendo ,	1
muito boa	1
Tô completamente apaixonada, loja super responsável e confiável!	1
Nada de chegar o meu pedido.	0
Muito bom. muito cheiroso.	1
otimo vendedor chegou ate antes do prazo , adorei o produto	1
Processo de compra tranquilo e eficiente.	1
Tomara q dure pois é de pelinho.	1
recebi somente 1 controle Midea Split ESTILO.	0
boa	1
MT lindo	1
Ocorreu tudo como contratado sendo a entrega realizada antes do prazo	1
Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.	1
Recomendo o vendedor...	1
O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia.	0
Produto entregue como solicitado, e com muita brevidade. Parabéns!	1
Eu comprei duas unidades e só recebi uma e agora o que faço?	2
Produto bom, porém o que veio para mim não condiz com a foto do anúncio.	2
Produto muito inferior, mal acabado.	0
O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!	1
Maravilha	1
Entrega no prazo	2
Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório	1
Pedi reembolso e sem resposta até momento	0
Super rápido.	1
Satisfeito	1
estao de parabens... sempre chega com muiiita antecedencia..	1
OK RECOMENDO	1
Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.	2
Produto de muito boa qualidade, chegou antes do prazo prometido	1
Este foi o pedido	0
Entrega muito rápida	1
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois	0
Estava faltando apenas um produto, eu recebi hoje , muito obrigada!	1
A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .	1
Demorou de mais pra entrega	0
super rapido a entrega .... chegou antes da data...	1
